zip,slic,state,city
01022,0119,MA,CHICOPEE
01026,0119,MA,CUMMINGTON
01027,0119,MA,EASTHAMPTON
01028,0119,MA,EAST LONGMEADOW
01029,0119,MA,EAST OTIS
01030,0119,MA,FEEDING HILLS
01031,0119,MA,GILBERTVILLE
01032,0119,MA,GOSHEN
01033,0119,MA,GRANBY
01034,0119,MA,GRANVILLE
01035,0119,MA,HADLEY
01036,0119,MA,HAMPDEN
01037,0119,MA,HARDWICK
01038,0119,MA,HATFIELD
01039,0119,MA,HAYDENVILLE
01040,0119,MA,HOLYOKE
01041,0119,MA,HOLYOKE
01050,0119,MA,HUNTINGTON
01053,0119,MA,LEEDS
01054,0119,MA,LEVERETT
01056,0119,MA,LUDLOW
01057,0119,MA,MONSON
01059,0119,MA,NORTH AMHERST
01060,0119,MA,NORTHAMPTON
01061,0119,MA,NORTHAMPTON
01062,0119,MA,FLORENCE
01063,0119,MA,NORTHAMPTON
01066,0119,MA,NORTH HATFIELD
01068,0119,MA,OAKHAM
01069,0119,MA,PALMER
01070,0119,MA,PLAINFIELD
01071,0119,MA,RUSSELL
01072,0119,MA,SHUTESBURY
01073,0119,MA,SOUTHAMPTON
01074,0119,MA,SOUTH BARRE
01075,0119,MA,SOUTH HADLEY
01077,0119,MA,SOUTHWICK
01079,0119,MA,THORNDIKE
01080,0119,MA,THREE RIVERS
01081,0119,MA,WALES
01082,0119,MA,WARE
01083,0119,MA,WARREN
01084,0119,MA,WEST CHESTERFIELD
01085,0119,MA,WESTFIELD
01086,0119,MA,WESTFIELD
01088,0119,MA,WEST HATFIELD
01089,0119,MA,WEST SPRINGFIELD
01090,0119,MA,WEST SPRINGFIELD
01092,0119,MA,WEST WARREN
01093,0119,MA,WHATELY
01094,0119,MA,WHEELWRIGHT
01095,0119,MA,WILBRAHAM
01096,0119,MA,WILLIAMSBURG
01097,0119,MA,WORONOCO
01098,0119,MA,WORTHINGTON
01101,0119,MA,SPRINGFIELD
01102,0119,MA,SPRINGFIELD
01103,0119,MA,SPRINGFIELD
01104,0119,MA,SPRINGFIELD
01105,0119,MA,SPRINGFIELD
01106,0119,MA,LONGMEADOW
01107,0119,MA,SPRINGFIELD
01108,0119,MA,SPRINGFIELD
01109,0119,MA,SPRINGFIELD
01111,0119,MA,SPRINGFIELD
01114,0119,MA,SPRINGFIELD
01115,0119,MA,SPRINGFIELD
01116,0119,MA,LONGMEADOW
01118,0119,MA,SPRINGFIELD
01119,0119,MA,SPRINGFIELD
01128,0119,MA,SPRINGFIELD
01129,0119,MA,SPRINGFIELD
01133,0119,MA,SPRINGFIELD
01138,0119,MA,SPRINGFIELD
01139,0119,MA,SPRINGFIELD
01144,0119,MA,SPRINGFIELD
01151,0119,MA,INDIAN ORCHARD
01152,0119,MA,SPRINGFIELD
01195,0119,,
01199,0119,MA,SPRINGFIELD
01201,0120,MA,PITTSFIELD
01202,0120,MA,PITTSFIELD
01203,0120,MA,PITTSFIELD
01220,0120,MA,ADAMS
01222,0120,MA,ASHLEY FALLS
